Header,Bifidobacterium_adolescentis_ATCC_15703,Bifidobacterium_adolescentis_ATCC_15703,Bifidobacterium_bifidum_PRL2010,Bifidobacterium_bifidum_PRL2010,Bifidobacterium_longum_NCC2705,Bifidobacterium_longum_NCC2705,Collinsella_tanakaei_YIT_12063,Collinsella_tanakaei_YIT_12063,Alistipes_finegoldii_DSM_17242,Alistipes_finegoldii_DSM_17242,Alistipes_putredinis_DSM_17216,Alistipes_putredinis_DSM_17216,Alistipes_shahii_WAL_8301,Alistipes_shahii_WAL_8301,Bacteroides_caccae_ATCC_43185,Bacteroides_caccae_ATCC_43185,Bacteroides_coprocola_M16_DSM_17136,Bacteroides_coprocola_M16_DSM_17136,Bacteroides_eggerthii_DSM_20697,Bacteroides_eggerthii_DSM_20697,Bacteroides_fragilis_NCTC_9343,Bacteroides_fragilis_NCTC_9343,Bacteroides_intestinalis_341_DSM_17393,Bacteroides_intestinalis_341_DSM_17393,Bacteroides_stercoris_ATCC_43183,Bacteroides_stercoris_ATCC_43183,Bacteroides_thetaiotaomicron_VPI_5482,Bacteroides_thetaiotaomicron_VPI_5482,Bacteroides_uniformis_ATCC_8492,Bacteroides_uniformis_ATCC_8492,Parabacteroides_distasonis_ATCC_8503,Parabacteroides_distasonis_ATCC_8503,Parabacteroides_johnsonii_DSM_18315,Parabacteroides_johnsonii_DSM_18315,Prevotella_ruminicola_23,Prevotella_ruminicola_23,Acidaminococcus_fermentans_DSM_20731,Acidaminococcus_fermentans_DSM_20731,Blautia_wexlerae_DSM_19850,Blautia_wexlerae_DSM_19850,Clostridium_clostridioforme_CM201,Clostridium_clostridioforme_CM201,Coprococcus_catus_GD_7,Coprococcus_catus_GD_7,Dialister_invisus_DSM_15470,Dialister_invisus_DSM_15470,Dorea_longicatena_DSM_13814,Dorea_longicatena_DSM_13814,Enterococcus_faecium_TX1330,Enterococcus_faecium_TX1330,Eubacterium_rectale_M104_1,Eubacterium_rectale_M104_1,Faecalibacterium_prausnitzii_L2_6,Faecalibacterium_prausnitzii_L2_6,Lactobacillus_mucosae_LM1,Lactobacillus_mucosae_LM1,Lactobacillus_reuteri_SD2112_ATCC_55730,Lactobacillus_reuteri_SD2112_ATCC_55730,Megasphaera_elsdenii_DSM_20460,Megasphaera_elsdenii_DSM_20460,Phascolarctobacterium_succinatutens_YIT_12067,Phascolarctobacterium_succinatutens_YIT_12067,Pseudoflavonifractor_capillosus_strain_ATCC_29799,Pseudoflavonifractor_capillosus_strain_ATCC_29799,Roseburia_intestinalis_L1_82,Roseburia_intestinalis_L1_82,Roseburia_inulinivorans_DSM_16841,Roseburia_inulinivorans_DSM_16841,Ruminococcus_bromii_L2_63,Ruminococcus_bromii_L2_63,Ruminococcus_callidus_ATCC_2776001,Ruminococcus_callidus_ATCC_2776001,Ruminococcus_torques_ATCC_27756,Ruminococcus_torques_ATCC_27756,Streptococcus_salivarius_JIM8777,Streptococcus_salivarius_JIM8777,Subdoligranulum_variabile_DSM_15176,Subdoligranulum_variabile_DSM_15176,Veillonella_atypica_ACS_049_V_Sch6,Veillonella_atypica_ACS_049_V_Sch6,Bilophila_wadsworthia_3_1_6,Bilophila_wadsworthia_3_1_6,Citrobacter_amalonaticus_Y19,Citrobacter_amalonaticus_Y19,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,Desulfovibrio_piger_ATCC_29098,Desulfovibrio_piger_ATCC_29098,Enterobacter_cloacae_EcWSU1,Enterobacter_cloacae_EcWSU1,Escherichia_coli_str_K_12_substr_MG1655,Escherichia_coli_str_K_12_substr_MG1655,Haemophilus_parainfluenzae_T3T1,Haemophilus_parainfluenzae_T3T1,Helicobacter_pylori_26695,Helicobacter_pylori_26695,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella_pneumoniae_pneumoniae_MGH78578,Shigella_flexneri_2002017,Shigella_flexneri_2002017,Akkermansia_muciniphila_ATCC_BAA_835,Akkermansia_muciniphila_ATCC_BAA_835,Fusobacterium_varium_ATCC_27725,Fusobacterium_varium_ATCC_27725
Column,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count
0,26DAPLLAT,51,26DAP_Mtex,51,26DAPLLAT,51,TREpts,51,26DAPLLAT,51,3MOBS,51,26DAPLLAT,51,ACACT1r,51,ACCOACL,51,2MBCOATA,51,ACGAMT,51,26DAPLLAT,51,12DGR180ti,51,26DAP_Mtex,51,12DGR180ti,51,ME1,51,ACGAMT,51,2S6HCC,51,26DAP_Mtex,51,ZNabcpp,51,26DAPLLAT,51,3HAD100,51,26DAPt2r,51,3HAD100,51,26DAP_Mtex,51,26DAP_Mtex,51,3HAD100,51,3HAD100,51,12DGR180ti,51,ACACT1r,51,ACGAMT,51,GMHEPAT,51,2MBCOATA,51,23DHMPO,51,26DAP_Mtex,51,3HAD100,51,PFL,51,3HAD100,51,3HAD100,51,3HAD100,51,3HACPR1,51,26DAPLLATi,51,THDPS,51,2MBCOATA,51,26DAPLLAT,51,26DAPLLAT,51,26DAPLLAT,51,2DMMQ8abc,51,ACLS_a,51,26DAPLLAT,51,ACGAMT,51,26DAPLLAT,51
1,GALT1,51,HEPK1,51,GLUPRT,51,TRE6PH,51,4HTHDR,51,MNt2,51,MNt2,51,MLTG4,51,KDOS,51,MTHFC,51,MNabc,51,ORNtex,51,OPHHX3,51,IMPD,51,OMMBLHX3,51,GLU5K,51,P5CRyr,51,SUDPDGT,51,HETT,51,GLUTRS,51,IPDPS2,51,MG2tex,51,3MOBS,51,METt2rpp,51,MG2tex,51,NCAMtex,51,PANTS,51,METALAabcpp,51,MEPCT,51,METSOX1abc,51,PHETA1,51,NACtex,51,FFSD,51,KDOPP,51,NADS1,51,GLU5K,51,TALA,51,MG2tex,51,LPADSS,51,HMBS,51,3HACPR2,51,GMPS2,51,GTPCI,51,MTHFC,51,Q8tex,51,NAt3_1pp,51,RNTR2,51,PAPA180,51,PPNDH,51,GTPCII,51,PLPS,51,G3PD1,51
2,MG2tex,51,PPIt2epp,51,KDOPSr,51,sink_PGPm1c,51,NAPRT,51,PPA,51,NAPRT,51,PYK,51,GLYGLNabcpp,51,HBZOPT,51,H2Ot,51,GGTA,51,NAt3_1,51,GLYASNtex,51,NAPRT,51,XYLI1,51,SO4t2,51,PULLe,51,OCDCEAtrpp,51,KDOS,51,GAPD,51,KDOPSr,51,OPHBDC,51,Ktex,51,IZPN,51,KAS14,51,KDOCT2,51,Kt1rpp,51,MK8t,51,MEVK1c,51,SO4t2,51,TTDCAtex,51,HMBS,51,HEPK1,51,KDOPSr,51,NMNtex,51,PLPS,51,LPADSS,51,LYSt3rpp,51,GLUTRR,51,MEOHt2pp,51,FTHFL,51,FE2DH,51,HETT,51,RPE,51,IG3PS,51,RIBFLVt2r,51,MG2abc,51,PHETA1,51,PRAIS,51,SHK3Dr,51,r2137,51
3,LPADSS,51,PMDPHT,51,Ktex,51,METALAabc,36,NA1tex,51,PIabc,51,NDPK9,51,PYDXtr,51,ACGS,51,HETT,51,IGPS,51,GLCptspp,51,NNDMBRT,51,GLYASPabcpp,51,NDPK1,51,ZNabc,51,PYDXtr,51,PPA,51,OCDCEAtex,51,HEPT4,51,RNTR1,51,Ktex,51,OPHHX3,51,LPADSS,51,KDOCT2,51,KDOCT2,51,KDOPP,51,Ktex,51,MOHMT,51,MG2abc,51,RNTR1,51,TKT1,51,HMPK1,51,HEPK2,51,Kt1rpp,51,NMNPpp,51,sink_PGPm1c,51,LYS_Ltex,51,MCOATA,51,GLUR,51,MALTTRabcpp,51,G5SADs,51,MTHFC,51,HEXTT,51,GCALDD,51,IGPDH,51,QULNS,51,MK8t,51,MNt2pp,51,PRAGS,51,SDPTA,51,sink_PGPm1c,51
4,Ktex,51,PHEMEtex,51,LPADSS,51,METALA1c,36,MTHFD,51,PHETA1,51,OCBT,51,PPA,51,GLYK,51,HMBS,51,Kt1r,51,GTPCI,51,OHPHM,51,GLYASPtex,51,NDPK2,51,XYLOTTRabc,51,PYDXK,51,PNTOabc,51,OCDCAtrpp,51,HEPT3,51,TKT2,51,LPADSS,51,P5CRyr,51,LYS_Ltex,51,KDOPP,51,KDOPP,51,KDOPSr,51,LPADSS,51,MTAN,51,MNt2,51,RIBFLVt2r,51,KDOPSr,51,IHPDCOATA,51,HEPT1,51,Ktex,51,MOAT3C,51,PULLe,51,LYSt3rpp,51,METFR,51,GCALDDr,51,MALCOAMT,51,GAPD,51,FRTT,51,HMBS,51,GHMT2r,51,IHPDCOATA,51,PYDXabc,51,MNt2,51,ACLS_b,34,PHEMEtex,51,SDPDS,51,MOHMT,51
5,KDOPSr,51,PANTS,51,LYS_Ltex,51,DHAD1,34,MNabcpp,51,PGPGT,51,PFL,51,PNTOabc,51,GLYTYR1c,51,IHPDCOATA,51,LYSabc,51,HEMEtipp,51,OIVD1r,51,GLYCYSabcpp,51,NDPK4,51,Kt1r,51,PNTOabc,51,PHETA1,51,MTHFD,51,HEPT2,51,THRS,51,LYS_Ltex,51,PAAI17P,51,LYSt3rpp,51,KDOPSr,51,KDOPSr,51,Ktex,51,MECDPDH2,51,NDPK1,51,NACt2r,51,PYDXtr,51,Kt1rpp,51,IVCOATA,51,HEPT2,51,LPADSS,51,MOAT,51,RNTR1,51,MET_Ltex,51,METS,51,G6Ptex,51,MALCOACD,51,GHMT2r,51,biomass372,51,IHPDCOATA,51,GLXCL,51,IMPC,51,PRATPP,51,NACt2r,51,DHAD1,34,PGK,51,PSCVT,51,MNabc,51
6,KDOPP,51,OCDCAtex,51,LYSt3rpp,51,VALTA,34,METt2rpp,51,PFL,51,PGMT,51,PMEVKc,51,GLYTYRabcpp,51,IVCOATA,51,MALTTRabc,51,IHPDCOATA,51,OIVD3,51,GLYCYStex,51,NNDMBRT,51,XYLOTTR_DEG,51,PNP,51,PGPGT,51,LYSt2rpp,51,HEPT1,51,THMDt4,51,LYSt3rpp,51,PAI17P,51,MCOATA,51,Ktex,51,Ktex,51,LPADSS,51,MECDPS,51,NDPK2,51,ACGAMT,51,PYDXK,51,Ktex,51,KAS14,51,HEPT3,51,MCOATA,51,MN2tex,51,RNTR2,51,METt2rpp,51,MG2tex,51,G6Pt6_2pp,51,IMPD,51,ORNTA,51,GGTT,51,IVCOATA,51,GLYAT,51,IPDPUPT,51,PRAMPC,51,NAPRT,51,3MOBS,33,MNt2pp,51,ADK10,51,LYSabc,51
7,KDOCT2,51,OCDCAt2pp,51,MALCOACD,51,ACLS_b,34,L_ILE3MR,51,P5CRyr,51,PGPGT,51,PIabc,51,GLYTYRtex,51,LARGNAT,51,METALA1c,51,IVCOATA,51,OMBZLM,51,GLYCtex,51,NTD4,51,XYLK,51,PGPGT,51,PAPA180,51,LYS_Ltex,51,HEPK2,51,GMPS2,51,MET_Ltex,51,PAPA180,51,MET_Ltex,51,LEUTA,51,L2A6ODs,51,MCOATA,51,MEPCT,51,NDPK4,51,O2t,51,PPNDH,51,LPADSS,51,KDOCT2,51,HEPT4,51,MG2abcpp,51,MG2tex,51,UDPGDr,51,MG2abcpp,51,MN2tex,51,G1SAT,51,IGPS,51,GLYCYStex,51,GLYCYSabcpp,51,KDOPP,51,GLYCLTDxr,51,IVCOATA,51,PPCKr,51,NNDMBRT,51,IPPMIb,32,MET_Ltex,51,PPCr,51,LEUTA,51
8,KAS14,51,O2tpp,51,MALCOAMT,51,AMPTASECG,29,Kt1rpp,51,ORNDC,51,ACGAMT,51,PGPGT,51,Kt1rpp,51,METFR,51,METALAabc,51,Kt1rpp,51,OMMBLHX3,51,GLYCtpp,51,OCDCAt2,51,METabc,51,ADK10,51,PAI17P,51,KDOS,51,HEPK1,51,GUI2,51,MN2tex,51,PGPGT,51,MG2tex,51,LPADSS,51,LPADSS,51,MET_Ltex,51,METALA1c,51,NNDMBRT,51,PGL,51,PNTOt4,51,LYS_Ltex,51,KDOPP,51,IHPDCOATA,51,MG2tex,51,LPADSS,51,FUMt2r,51,MK8tpp,51,MNt2pp,51,FE2DH,51,IGPDH,51,H2CO3D,51,GLYCYStex,51,KDOPSr,51,GNCORE2tex,51,LYSt3rpp,51,PPA,51,OIVD1r,51,OMCDC,32,LYSt3rpp,51,PGPGT,51,Kt1r,51
