Header,Bifidobacterium_adolescentis_ATCC_15703,Bifidobacterium_adolescentis_ATCC_15703,Bifidobacterium_bifidum_PRL2010,Bifidobacterium_bifidum_PRL2010,Bifidobacterium_longum_NCC2705,Bifidobacterium_longum_NCC2705,Collinsella_tanakaei_YIT_12063,Collinsella_tanakaei_YIT_12063,Alistipes_finegoldii_DSM_17242,Alistipes_finegoldii_DSM_17242,Alistipes_putredinis_DSM_17216,Alistipes_putredinis_DSM_17216,Alistipes_shahii_WAL_8301,Alistipes_shahii_WAL_8301,Bacteroides_caccae_ATCC_43185,Bacteroides_caccae_ATCC_43185,Bacteroides_coprocola_M16_DSM_17136,Bacteroides_coprocola_M16_DSM_17136,Bacteroides_eggerthii_DSM_20697,Bacteroides_eggerthii_DSM_20697,Bacteroides_fragilis_NCTC_9343,Bacteroides_fragilis_NCTC_9343,Bacteroides_intestinalis_341_DSM_17393,Bacteroides_intestinalis_341_DSM_17393,Bacteroides_stercoris_ATCC_43183,Bacteroides_stercoris_ATCC_43183,Bacteroides_thetaiotaomicron_VPI_5482,Bacteroides_thetaiotaomicron_VPI_5482,Bacteroides_uniformis_ATCC_8492,Bacteroides_uniformis_ATCC_8492,Parabacteroides_distasonis_ATCC_8503,Parabacteroides_distasonis_ATCC_8503,Parabacteroides_johnsonii_DSM_18315,Parabacteroides_johnsonii_DSM_18315,Prevotella_ruminicola_23,Prevotella_ruminicola_23,Acidaminococcus_fermentans_DSM_20731,Acidaminococcus_fermentans_DSM_20731,Blautia_wexlerae_DSM_19850,Blautia_wexlerae_DSM_19850,Clostridium_clostridioforme_CM201,Clostridium_clostridioforme_CM201,Coprococcus_catus_GD_7,Coprococcus_catus_GD_7,Dialister_invisus_DSM_15470,Dialister_invisus_DSM_15470,Dorea_longicatena_DSM_13814,Dorea_longicatena_DSM_13814,Enterococcus_faecium_TX1330,Enterococcus_faecium_TX1330,Eubacterium_rectale_M104_1,Eubacterium_rectale_M104_1,Faecalibacterium_prausnitzii_L2_6,Faecalibacterium_prausnitzii_L2_6,Lactobacillus_mucosae_LM1,Lactobacillus_mucosae_LM1,Lactobacillus_reuteri_SD2112_ATCC_55730,Lactobacillus_reuteri_SD2112_ATCC_55730,Megasphaera_elsdenii_DSM_20460,Megasphaera_elsdenii_DSM_20460,Phascolarctobacterium_succinatutens_YIT_12067,Phascolarctobacterium_succinatutens_YIT_12067,Pseudoflavonifractor_capillosus_strain_ATCC_29799,Pseudoflavonifractor_capillosus_strain_ATCC_29799,Roseburia_intestinalis_L1_82,Roseburia_intestinalis_L1_82,Roseburia_inulinivorans_DSM_16841,Roseburia_inulinivorans_DSM_16841,Ruminococcus_bromii_L2_63,Ruminococcus_bromii_L2_63,Ruminococcus_callidus_ATCC_2776001,Ruminococcus_callidus_ATCC_2776001,Ruminococcus_torques_ATCC_27756,Ruminococcus_torques_ATCC_27756,Streptococcus_salivarius_JIM8777,Streptococcus_salivarius_JIM8777,Subdoligranulum_variabile_DSM_15176,Subdoligranulum_variabile_DSM_15176,Veillonella_atypica_ACS_049_V_Sch6,Veillonella_atypica_ACS_049_V_Sch6,Bilophila_wadsworthia_3_1_6,Bilophila_wadsworthia_3_1_6,Citrobacter_amalonaticus_Y19,Citrobacter_amalonaticus_Y19,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,Desulfovibrio_piger_ATCC_29098,Desulfovibrio_piger_ATCC_29098,Enterobacter_cloacae_EcWSU1,Enterobacter_cloacae_EcWSU1,Escherichia_coli_str_K_12_substr_MG1655,Escherichia_coli_str_K_12_substr_MG1655,Haemophilus_parainfluenzae_T3T1,Haemophilus_parainfluenzae_T3T1,Helicobacter_pylori_26695,Helicobacter_pylori_26695,Klebsiella_pneumoniae_pneumoniae_MGH78578,Klebsiella_pneumoniae_pneumoniae_MGH78578,Shigella_flexneri_2002017,Shigella_flexneri_2002017,Akkermansia_muciniphila_ATCC_BAA_835,Akkermansia_muciniphila_ATCC_BAA_835,Fusobacterium_varium_ATCC_27725,Fusobacterium_varium_ATCC_27725
Column,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count,Rescue,Count
0,ACLS_b,35,DHAD1,33,ACLS_b,33,DHAD1,33,ENO,24,sink_PGPm1c,20,PGM,23,DHAD1,34,ACLS_b,33,DHAD1,34,DHAD1,33,DHAD1,34,DHAD1,34,DHAD1,33,DHAD1,33,ACLS_b,33,G5SADs,25,DHAD1,32,ACLS_b,33,GAPD,30,ACLS_b,33,DHAD1,33,sink_PGPm1c,20,GAPD,28,GAPD,33,DHAD1,33,DHAD1,33,ENO,24,PGK,20,ACLS_b,33,DHAD1,32,ACLS_b,33,ACLS_b,32,GAPD,28,GAPD,28,PGK,28,ACLS_b,32,ACLS_b,33,DHAD1,33,ACLS_b,33,ACLS_b,33,DHAD1,34,DHAD1,33,sink_PGPm1c,21,GAPD,35,GAPD,35,ACLS_b,33,G5SADs,25,GAPD,36,GAPD,35,PGMT,23,GAPD,29
1,GAPD,35,ACLS_b,32,DHAD1,33,ACLS_b,33,GAPD,24,PGK,19,ENO,23,ACLS_b,34,DHAD1,33,ACLS_b,33,ACLS_b,33,ACLS_b,33,ACLS_b,34,ACLS_b,33,ACLS_b,33,DHAD1,33,GAPD,24,ACLS_b,31,DHAD1,33,ENO,28,DHAD1,33,ACLS_b,33,FE2abcpp,19,PGK,26,ENO,29,ACLS_b,33,ACLS_b,33,PGK,24,PGM,20,DHAD1,32,ACLS_b,32,DHAD1,33,DHAD1,32,PGK,25,PGM,27,GAPD,26,DHAD1,32,DHAD1,32,ACLS_b,33,DHAD1,33,DHAD1,32,ACLS_b,33,ACLS_b,33,SO4t2pp,18,DHAD1,33,DHAD1,33,DHAD1,32,P5CRyr,23,PGK,32,ACLS_b,33,GAPD,22,PGM,26
2,DHAD1,33,GAPD,31,GAPD,28,VALTA,29,PGM,24,FE2abcpp,19,PGK,23,VALTA,30,LEUTA,29,VALTA,28,LEUTA,29,LEUTA,29,GAPD,31,GAPD,29,VALTA,29,GAPD,30,PGK,23,VALTA,28,G5SADs,28,PGM,28,GAPD,32,VALTA,30,FE2tex,19,ENO,26,PGM,29,VALTA,29,VALTA,28,PGM,24,ENO,20,VALTA,29,G5SADs,28,VALTA,29,GAPD,29,ENO,24,PGK,27,G5SADs,25,GAPD,30,VALTA,28,ENO,30,VALTA,29,LEUTA,28,GAPD,32,VALTA,29,FE2tex,18,ACLS_b,33,ACLS_b,33,VALTA,29,G5SDr,23,ACLS_b,32,DHAD1,33,sink_PGPm1c,20,PGK,26
3,PGM,31,PGK,28,VALTA,28,LEUTA,28,PGK,24,FE2tex,19,TMDS,22,LEUTA,28,OMCDC,28,LEUTA,28,GAPD,29,IPMDr,28,VALTA,30,VALTA,28,LEUTA,29,VALTA,28,P5CRyr,23,GAPD,28,LEUTA,27,PGK,28,PGM,30,LEUTA,28,SO4t2pp,18,G5SADs,26,PGK,29,LEUTA,28,LEUTA,27,GAPD,22,sink_PGPm1c,20,ENO,28,VALTA,27,LEUTA,28,VALTA,28,PGM,24,ENO,26,ENO,24,PGK,28,LEUTA,27,PGM,29,LEUTA,27,VALTA,28,VALTA,29,GAPD,28,FE2abcpp,18,ENO,31,ENO,31,ACLS_a,27,GLU5K,23,ENO,32,ENO,31,PGK,20,ENO,26
4,ENO,30,VALTA,27,LEUTA,27,OMCDC,27,TMDS,22,KDOPP,18,GAPD,22,GAPD,28,IPMDr,28,GAPD,27,VALTA,29,VALTA,28,LEUTA,29,LEUTA,28,GAPD,29,LEUTA,26,G5SDr,23,IPPMIa,27,IPMDr,27,G5SADs,26,ENO,30,IPPMIa,27,KDOPP,18,PGM,25,TPI,22,IPPMIb,27,OMCDC,26,sink_PGPm1c,21,GAPD,20,GAPD,28,P5CRyr,26,ILETA,27,PGK,28,PGMT,21,G5SADs,25,PGM,24,PGM,28,DHAD2,26,GAPD,29,ACLS_a,26,OMCDC,27,ENO,29,PGK,28,TDSK,17,PGM,31,PGM,31,LEUTA,27,PGK,22,DHAD1,32,PGM,31,GF6PTA,20,sink_PGPm1c,20
5,VALTA,30,ENO,27,ACLS_a,27,IPPMIb,27,sink_PGPm1c,21,SO4t2pp,18,sink_PGPm1c,20,IPPMIb,27,IPPMIa,28,IPMDr,26,IPPMIb,27,IPPMIa,28,IPPMIb,28,IPPMIb,27,OMCDC,28,IPPMIa,26,GLU5K,23,LEUTA,27,IPPMIb,27,GLU5K,24,VALTA,29,OMCDC,27,KDOPSr,18,P5CRyr,24,sink_PGPm1c,21,IPPMIa,27,IPPMIb,26,FE2tex,18,FE2tex,18,LEUTA,28,GLU5K,26,IPMDr,27,LEUTA,27,TPI,21,P5CRyr,23,P5CRyr,23,LEUTA,28,OMCDC,26,VALTA,29,ILETA,26,ILETA,27,PGM,29,LEUTA,27,PGPGT,17,PGK,29,PGK,30,ILETA,27,ENO,21,PGM,32,PGK,30,PGM,19,TPI,20
6,PGK,30,ACLS_a,27,ILETA,27,IPPMIa,27,TPI,20,G3PD1,18,FE2tex,19,IPPMIa,27,IPPMIb,28,IPPMIa,26,IPPMIa,27,IPPMIb,28,IPPMIa,28,PGK,26,IPPMIa,28,IPMDr,26,PGM,22,PGK,25,IPPMIa,27,P5CRyr,24,PGK,28,IPMDr,27,A5PISO,18,G5SDr,24,KDOPSr,17,IPMDr,27,IPPMIa,26,FE2abcpp,18,A5PISO,18,ACLS_a,27,G5SDr,26,OMCDC,27,ACHBPL,27,sink_PGPm1c,21,GLU5K,23,GLU5K,23,ENO,28,IPPMIb,26,PGK,28,OMCDC,26,IPMDr,27,PGK,28,ACLS_a,27,TDPDRE,17,LEUTA,27,VALTA,28,OMCDC,26,PGM,21,VALTA,28,VALTA,28,ENO,19,SO4t2pp,18
7,IPPMIa,28,PGMT,26,PGK,27,IPMDr,27,FE2abcpp,19,KDOPSr,18,FE2abcpp,19,IPMDr,27,VALTA,28,OMCDC,26,IPMDr,27,OMCDC,28,PGM,28,IPPMIa,26,PGK,28,IPPMIb,26,ENO,22,IPMDr,25,VALTA,26,G5SDr,24,LEUTA,27,IPPMIb,27,TDSK,17,GLU5K,24,r2137,17,OMCDC,27,IPMDr,26,TECAUE,17,SO4t2pp,18,PGM,27,TMDS,23,IPPMIb,27,ILETA,27,Cuabc,17,G5SDr,23,G5SDr,23,VALTA,28,IPMDr,26,ACLS_a,26,IPPMIb,26,IPPMIa,27,OMCDC,27,IPPMIb,26,TDPDRRr,17,VALTA,27,LEUTA,27,IPPMIa,26,sink_PGPm1c,20,LEUTA,27,LEUTA,26,FE2abcpp,19,A5PISO,18
8,IPPMIb,27,DHAD2,26,ENO,26,GAPD,26,FE2tex,19,PGM,18,TPI,19,OMCDC,27,3MOBS,26,PGK,26,OMCDC,27,3MOBS,26,PGK,28,IPMDr,26,IPPMIb,28,PGK,25,sink_PGPm1c,20,IPPMIb,25,P5CRyr,26,PGMT,23,OMCDC,26,ACLS_a,26,MOAT,17,sink_PGPm1c,21,SO4t2pp,17,G5SADs,25,ILETA,26,CDPGLYCGPT,17,FE2abcpp,18,OMCDC,27,sink_PGPm1c,20,IPPMIa,27,IPPMIa,26,CDPGLYCGPT,17,TPI,22,sink_PGPm1c,21,IPPMIa,27,ILETA,26,ILETA,26,IPPMIa,26,IPPMIb,27,LEUTA,27,OMCDC,26,EDTXS2,17,OMCDC,26,OMCDC,26,DHAD2,26,FE2tex,19,IPMDr,26,ACLS_a,26,FE2tex,19,FE2abcpp,18
